_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Rayo Vallecano v Barcelona,2,0.0,-1,2,-85,-16,-77,-32,-44,-31,-57,12,2,-2,-8,8,-3,-2,-1,3,0,0,-6,0,-49,-77,-28,7,2,0,-7,-4,1,3,-2
Rayo Vallecano v Celta Vigo,0,1.5,-4,-2,7,3,12,6,-2,-5,0,11,-3,3,-1,1,-3,0,1,-2,-1,0,-1,0,-12,5,17,-2,0,0,-4,-4,5,0,1
Rayo Vallecano v Cordoba,2,0.8999999999999986,4,1,129,2,131,85,55,0,86,55,-2,2,2,-2,5,3,0,2,2,0,3,0,56,120,64,-5,0,0,-5,-8,-4,-3,1
Rayo Vallecano v Deportivo,2,-0.20000000000000284,-2,-2,2,-2,18,24,11,14,3,20,3,-3,-2,2,-1,1,0,14,3,0,-1,0,-13,10,23,2,0,0,-14,-11,6,3,0
Rayo Vallecano v Eibar,2,0.0,3,2,184,24,168,126,94,68,119,32,5,-5,-2,2,3,0,0,19,2,0,-1,0,121,159,38,-5,1,0,0,-2,-5,-2,-1
Rayo Vallecano v Elche,2,0.10000000000000142,-3,-3,160,10,144,112,58,39,75,55,-1,1,5,-5,0,-1,0,6,1,0,1,0,48,150,102,-7,1,0,-2,1,-7,3,0
Rayo Vallecano v Espanyol,2,-0.6999999999999993,1,2,230,-1,224,132,104,34,152,52,2,-2,4,-4,0,1,0,9,1,0,1,0,115,231,116,-8,0,0,-8,-7,7,1,0
Rayo Vallecano v Getafe,0,1.0,2,-1,99,20,98,55,50,30,55,20,3,-3,-1,1,3,3,1,13,1,0,2,0,55,107,52,0,0,0,5,2,-8,-3,1
Rayo Vallecano v Granada,0,0.5,-4,-2,135,16,135,79,73,9,90,53,1,-1,0,0,-4,-1,-1,11,2,0,-2,0,31,134,103,0,-2,0,-5,-6,2,-1,-1
Rayo Vallecano v Levante,0,-1.0,5,3,163,19,164,101,72,25,86,64,3,-3,4,-4,3,3,1,13,2,0,2,0,50,163,113,-3,0,0,-3,-2,-3,1,3
Rayo Vallecano v Malaga,0,0.0,1,0,38,-1,48,42,30,41,43,-13,3,-3,0,0,0,0,1,17,4,0,1,0,67,47,-20,-1,1,0,-11,-7,7,4,1
Rayo Vallecano v Real Madrid,2,1.6999999999999993,7,5,86,6,82,52,49,47,36,18,7,-7,-2,2,4,0,0,15,3,0,-4,0,83,94,11,0,1,0,-9,-2,6,7,0
Rayo Vallecano v Real Sociedad,2,0.3000000000000007,1,-1,137,-4,145,83,71,21,76,57,3,-3,-1,1,4,1,-1,16,4,0,1,0,51,146,95,-5,1,0,0,-2,-1,-2,-1
Rayo Vallecano v Sevilla,2,-0.5999999999999979,1,2,51,11,46,32,22,-27,49,34,2,-2,3,-3,-2,-3,-1,12,1,0,-2,0,-11,65,76,5,0,0,-6,-2,2,4,-1
Rayo Vallecano v Valencia,1,2.700000000000003,-1,-2,39,-5,47,2,25,-21,30,17,-4,4,-2,2,-1,1,0,-5,-2,0,1,0,-20,44,64,-4,0,0,7,8,-5,1,1
Rayo Vallecano v Villarreal,0,2.3999999999999986,1,1,53,-1,52,48,25,23,36,18,-1,1,2,-2,0,0,0,12,2,0,0,0,25,48,23,-12,0,0,-1,-2,3,-1,0
Real Madrid v Almeria,0,-0.5999999999999979,6,1,52,-3,52,51,12,60,6,-3,2,-2,4,-4,2,3,0,6,1,0,0,0,87,55,-32,-9,0,0,-1,1,1,2,1
Real Madrid v Athletic Club,0,0.29999999999999716,2,-1,76,-4,90,56,30,-2,61,25,-2,2,1,-1,3,3,2,0,0,0,7,0,13,86,73,-6,-1,0,-6,-5,3,1,2
Real Madrid v Atletico,2,-0.29999999999999716,8,1,145,9,148,80,78,44,112,1,1,-1,1,-1,7,4,-1,7,2,0,1,0,135,148,13,-1,-2,0,2,5,6,3,0
Real Madrid v Barcelona,0,-0.1999999999999993,1,0,-121,-4,-115,-49,-63,-1,-100,-16,-3,3,2,-2,1,1,0,4,2,0,-1,0,-70,-121,-51,3,-4,0,1,-1,1,-2,0
Real Madrid v Celta Vigo,0,0.8000000000000007,11,6,9,7,10,6,18,0,18,5,6,-6,5,-5,7,7,0,12,6,0,1,0,-14,20,34,-2,-2,0,-5,0,1,5,1
Real Madrid v Cordoba,0,0.0,6,6,163,6,161,106,78,96,84,11,5,-5,1,-1,5,3,1,16,2,0,2,0,161,163,2,-3,-1,0,1,2,0,1,1
Real Madrid v Deportivo,0,-1.8000000000000007,2,1,89,7,88,60,35,-2,59,40,3,-3,5,-5,3,3,0,2,5,0,-1,0,25,92,67,5,-1,0,-6,-5,2,1,1
Real Madrid v Eibar,0,-3.900000000000002,13,7,184,-2,199,113,80,77,101,18,2,-2,4,-4,11,7,1,10,2,0,1,0,178,204,26,6,-1,0,-20,-10,17,10,2
Real Madrid v Elche,0,-1.0,7,3,191,-6,194,117,94,81,129,1,4,-4,1,-1,8,6,2,14,5,0,1,0,172,185,13,-9,2,0,6,4,-5,-2,2
Real Madrid v Espanyol,0,0.1999999999999993,3,-1,94,6,102,61,39,43,65,-7,1,-1,0,0,4,6,1,10,8,0,0,0,108,114,6,0,-1,0,-8,-3,4,5,2
Real Madrid v Getafe,0,-0.8999999999999986,1,1,65,16,67,26,34,-13,62,13,-1,1,2,-2,1,2,1,1,2,0,0,0,17,80,63,2,0,0,8,3,-2,-5,0
Real Madrid v Granada,0,-0.8999999999999986,10,4,68,-5,71,59,27,52,43,-8,5,-5,2,-2,9,7,1,13,5,0,4,0,97,70,-27,-3,0,0,-11,-6,8,5,4
Real Madrid v Levante,0,-1.5,11,5,190,3,189,102,109,113,109,-8,4,-4,3,-3,7,7,0,15,7,0,1,0,202,200,-2,3,1,0,-3,-2,4,1,2
Real Madrid v Malaga,0,-0.5,-1,0,198,9,211,120,81,62,128,11,0,0,9,-9,0,1,1,10,3,0,4,0,163,217,54,3,0,0,-9,-5,7,4,1
Real Madrid v Rayo Vallecano,0,-0.1999999999999993,0,0,-22,3,-35,-14,-17,-9,-16,-5,-1,1,4,-4,2,1,1,-7,3,0,1,0,-42,-31,11,-10,-1,0,-2,7,8,9,1
Real Madrid v Real Sociedad,0,-0.1999999999999993,9,4,138,-3,139,83,63,63,88,-4,5,-5,2,-2,8,9,0,6,6,0,1,0,137,151,14,0,1,0,-2,0,5,2,1
Real Madrid v Sevilla,0,0.3000000000000007,1,-2,135,12,141,64,70,16,78,41,-1,1,10,-10,0,1,2,2,0,0,1,0,45,150,105,0,-2,0,-10,-2,7,8,2
Real Madrid v Valencia,1,1.6999999999999993,3,2,147,-2,152,87,65,34,117,1,0,0,3,-3,3,2,-2,8,4,0,0,0,116,151,35,-5,1,0,-6,-4,7,2,-2
Real Madrid v Villarreal,1,1.5,8,-2,112,-13,127,82,59,71,51,21,1,-1,5,-5,9,6,0,17,6,0,0,0,124,123,-1,-4,-1,0,-4,-2,7,2,0
Real Sociedad v Almeria,2,0.9000000000000021,1,1,49,-7,54,28,43,69,-6,9,8,-8,-3,3,0,2,0,14,4,0,2,0,59,64,5,1,-1,0,-15,-9,10,6,1
Real Sociedad v Athletic Club,1,0.3000000000000007,5,2,-42,-4,-38,-25,-16,16,-39,-20,-5,5,3,-3,2,4,1,-6,4,0,0,0,1,-36,-37,-5,-2,0,-3,-1,2,2,1
Real Sociedad v Atletico,0,-0.8999999999999986,5,2,-30,-3,-27,-34,3,-21,-22,13,1,-1,-2,2,-1,-1,-1,0,0,0,-1,0,-12,-30,-18,1,-1,0,-3,-1,3,2,0
Real Sociedad v Barcelona,0,-1.0,-9,-5,-237,-3,-242,-131,-120,-130,-141,18,-2,2,-2,2,-7,-2,0,-8,-3,0,0,0,-241,-241,0,4,1,0,7,2,-5,-5,-1
Real Sociedad v Celta Vigo,1,1.3999999999999986,-4,-3,-17,0,-35,0,-16,-13,-18,15,-5,5,4,-4,-3,-1,1,-5,-1,0,0,0,-24,-25,-1,-7,1,0,-5,-1,6,4,1
Real Sociedad v Cordoba,0,0.6000000000000014,1,-2,116,-9,111,97,48,95,57,-7,1,-1,3,-3,1,0,0,21,9,0,1,0,146,115,-31,-7,-1,-1,1,2,1,1,0
Real Sociedad v Deportivo,1,-0.8000000000000007,-3,-1,-32,-17,-36,-8,-30,-39,-22,23,-2,2,2,-2,-1,-1,0,-7,1,0,2,0,-64,-21,43,2,-1,0,0,5,5,5,0
Real Sociedad v Eibar,0,-1.3999999999999986,7,0,57,-17,67,48,27,50,22,3,4,-4,5,-5,5,2,0,14,4,0,1,0,79,79,0,6,0,0,-8,-5,3,3,0
Real Sociedad v Elche,0,0.3000000000000007,0,0,-63,0,-64,-35,-39,-28,-62,18,-1,1,-2,2,0,3,2,-10,0,0,0,0,-85,-74,11,1,1,0,0,0,-3,0,2
Real Sociedad v Espanyol,0,-0.5,1,-1,-5,-3,-8,9,-16,-7,4,-3,-2,2,-4,4,0,2,0,-2,4,0,-2,0,-22,-7,15,2,0,0,2,0,-5,-2,1
Real Sociedad v Getafe,2,-1.6999999999999993,-2,-5,94,-7,99,59,39,-2,78,25,0,0,3,-3,1,2,0,6,0,0,0,0,36,98,62,-8,-1,0,-5,-1,1,4,0
Real Sociedad v Granada,2,-0.5,-6,-3,138,12,124,86,52,47,50,42,1,-1,0,0,-3,-2,0,-1,0,0,-1,0,65,128,63,-6,0,0,10,7,-4,-3,0
Real Sociedad v Levante,0,-1.7999999999999972,-2,-1,147,7,136,85,51,22,117,-2,-1,1,6,-6,-4,0,1,-6,-2,0,2,0,86,148,62,-6,-2,0,7,7,-1,0,1
Real Sociedad v Malaga,2,-0.6000000000000014,-2,-2,0,-1,1,-17,7,-20,10,-3,-2,2,6,-6,0,1,0,-5,-1,0,3,0,26,11,-15,1,0,0,1,5,12,4,0
Real Sociedad v Rayo Vallecano,2,-0.40000000000000213,-3,-1,-66,8,-64,-39,-25,-19,-62,12,-1,1,-1,1,-4,-5,0,0,-5,0,0,0,-53,-59,-6,0,0,0,7,6,-3,-1,0
Real Sociedad v Real Madrid,0,0.40000000000000213,-1,0,0,-11,-10,9,-6,7,-1,-5,2,-2,0,0,-3,-3,1,4,0,0,-1,0,-6,-19,-13,-1,0,0,-2,-5,-3,-3,0
Real Sociedad v Sevilla,0,0.20000000000000284,1,-1,62,5,51,53,11,26,39,-1,-8,8,-2,2,0,1,0,-2,1,0,-2,0,20,54,34,7,1,0,3,-1,-4,-4,0
Real Sociedad v Valencia,1,2.6000000000000014,7,4,28,-5,31,38,16,39,19,-4,6,-6,3,-3,5,1,-1,13,2,0,5,0,89,33,-56,1,-1,0,-12,-11,11,1,0
Real Sociedad v Villarreal,1,2.400000000000002,-9,-5,34,-11,27,26,9,18,11,8,-4,4,-2,2,-9,-7,0,5,-2,0,1,0,41,33,-8,1,-1,0,3,4,-1,1,0
Sevilla v Almeria,0,0.09999999999999787,-2,2,-22,-18,-24,4,-29,-16,-36,24,-1,1,-1,1,1,1,-1,-1,-1,0,1,0,-55,-32,23,-5,0,0,1,-1,-1,-2,-1
Sevilla v Athletic Club,0,0.0,-1,-3,18,14,11,7,11,-26,6,38,1,-1,0,0,0,3,2,-1,-1,0,2,0,-63,26,89,-2,-1,0,10,9,-5,-1,2
Sevilla v Atletico,1,-1.3999999999999986,3,3,135,14,136,47,90,51,75,10,0,0,1,-1,4,0,0,0,0,0,0,0,109,126,17,1,-1,0,-2,-3,2,-1,0
Sevilla v Barcelona,1,-1.3999999999999986,-3,-4,-265,-5,-264,-135,-136,-77,-183,-11,-1,1,-6,6,-2,0,-1,0,1,0,0,0,-227,-265,-38,6,1,0,2,-5,-9,-7,-1
Sevilla v Celta Vigo,0,2.099999999999998,-3,-2,44,-2,43,18,10,-5,14,19,-3,3,-10,10,-2,-2,0,-7,-1,0,-1,0,9,47,38,2,1,-1,3,8,6,5,1
Sevilla v Cordoba,0,-0.5,6,3,180,-1,180,119,89,106,98,3,3,-3,4,-4,4,2,1,15,-1,0,2,0,190,176,-14,-2,0,0,-6,-4,5,2,2
Sevilla v Deportivo,0,-1.6000000000000014,5,1,31,-14,46,30,9,41,29,-27,4,-4,-4,4,7,5,1,7,5,0,2,0,62,34,-28,0,2,0,-6,-4,9,2,1
Sevilla v Eibar,1,-0.9000000000000021,0,0,108,-11,107,65,47,57,34,20,0,0,2,-2,0,0,0,4,1,0,0,0,98,110,12,1,-2,0,-9,-3,7,6,0
Sevilla v Elche,0,0.0,3,-2,90,10,88,31,60,16,36,39,1,-1,0,0,2,3,1,1,3,0,4,0,43,98,55,8,-1,0,-1,-1,-2,0,2
Sevilla v Espanyol,0,-1.3999999999999986,11,5,122,-7,118,89,61,78,51,23,3,-3,-1,1,9,8,1,18,5,0,0,0,119,121,2,-3,1,-1,4,3,3,-1,1
Sevilla v Getafe,0,-1.6999999999999993,3,3,105,1,101,48,64,61,36,17,6,-6,4,-4,3,3,0,10,2,0,1,0,84,109,25,2,-1,0,2,4,1,2,1
Sevilla v Granada,0,-0.5999999999999979,-1,0,102,6,100,62,41,40,35,27,2,-2,0,0,2,2,0,6,0,0,-2,0,56,86,30,3,-2,0,4,0,-3,-4,0
Sevilla v Levante,1,-2.5,0,-1,93,-1,98,54,36,14,53,25,1,-1,-1,1,-2,-2,1,1,-3,0,2,0,29,95,66,7,-2,0,-1,-4,-1,-3,1
Sevilla v Malaga,0,-0.3000000000000007,-2,-1,67,5,55,40,41,20,42,17,1,-1,0,0,1,1,1,1,2,0,2,0,31,51,20,-3,2,0,-2,0,-4,2,1
Sevilla v Rayo Vallecano,0,-1.6999999999999993,2,2,-33,-5,-38,-21,-4,6,-34,3,2,-2,0,0,1,2,2,-1,1,0,3,0,2,-41,-43,-2,-1,0,-3,-4,2,-1,2
Sevilla v Real Madrid,2,-0.3999999999999986,1,1,-95,-3,-95,-53,-53,-25,-79,-2,0,0,0,0,0,0,-2,-9,-4,0,2,0,-53,-99,-46,2,-1,0,-5,-3,5,2,-1
Sevilla v Real Sociedad,0,-0.29999999999999716,1,1,45,6,41,23,17,9,-10,39,0,0,-2,2,1,-1,1,-1,1,0,-1,0,12,41,29,2,-1,0,7,3,-8,-4,1
Sevilla v Valencia,1,2.6999999999999993,2,0,0,3,2,-21,10,-6,-32,28,0,0,-4,4,-2,-1,0,-7,0,0,1,0,-25,-3,22,-1,-1,0,-1,-2,-2,-1,1
Sevilla v Villarreal,0,1.0,-3,-1,29,5,21,15,14,17,14,-2,1,-1,-3,3,-1,1,0,1,-1,0,1,0,29,21,-8,-7,-1,0,-2,1,1,3,0
Valencia v Almeria,0,-1.5,3,3,189,3,193,115,78,62,83,48,-1,1,2,-2,0,0,0,4,-1,0,1,0,110,187,77,-4,-1,0,8,5,-10,-3,0
Valencia v Athletic Club,1,-2.599999999999998,4,2,-42,-1,-43,-35,-11,16,-33,-28,0,0,-2,2,3,2,0,2,1,0,0,0,-4,-45,-41,-7,0,0,13,10,-4,-3,0
Valencia v Atletico,0,-3.0,-7,-5,-33,12,-27,-43,2,-49,27,-19,-2,2,-5,5,-1,-1,1,-7,-2,0,-1,0,-60,-14,46,11,1,0,-7,-3,10,4,0
Valencia v Barcelona,2,-2.6999999999999993,5,1,-230,-5,-219,-122,-106,-67,-130,-37,-1,1,1,-1,2,1,0,1,4,0,0,0,-156,-210,-54,-5,-1,0,-8,-4,1,4,0
Valencia v Celta Vigo,1,-0.3000000000000007,-1,3,-8,-14,-14,28,-7,51,-1,-30,-1,1,5,-5,-1,0,-1,16,6,0,-1,0,53,-13,-66,2,0,0,-2,0,2,2,-1
Valencia v Cordoba,0,-3.099999999999998,8,1,58,6,68,28,17,-15,19,41,-3,3,4,-4,5,4,1,-8,0,0,0,0,-2,78,80,7,0,0,2,4,6,2,2
Valencia v Deportivo,0,-2.3000000000000007,6,4,-44,-6,-37,-4,-33,11,-38,-10,2,-2,4,-4,6,3,0,6,4,0,-3,0,6,-43,-49,-8,-1,0,-3,-3,3,0,0
Valencia v Eibar,0,-3.8000000000000007,6,3,160,-4,173,99,79,66,81,31,3,-3,6,-6,3,1,1,14,3,0,1,0,135,168,33,-1,0,0,-6,-5,2,1,1
Valencia v Elche,0,-2.599999999999998,-1,-3,28,-4,40,18,14,8,15,8,3,-3,3,-3,1,1,2,8,1,0,0,0,41,39,-2,1,-1,0,-1,0,2,1,2
Valencia v Espanyol,0,-2.8999999999999986,2,2,63,15,73,12,43,6,32,15,-2,2,4,-4,5,1,1,-1,3,0,0,0,11,76,65,7,0,0,-8,-4,6,4,1
Valencia v Getafe,0,-2.0,3,0,54,-13,72,39,17,27,16,15,5,-5,-8,8,2,2,0,12,3,0,-1,0,35,63,28,0,1,0,1,-1,4,-2,0
Valencia v Granada,0,-1.5,8,2,127,-11,128,94,37,37,73,21,-2,2,5,-5,6,4,1,3,4,0,1,0,97,145,48,-1,0,0,6,6,0,0,2
Valencia v Levante,0,-3.8000000000000007,2,1,60,11,71,16,30,3,26,17,0,0,1,-1,3,2,2,-1,2,0,0,0,24,67,43,-3,1,0,6,5,-1,-1,2
Valencia v Malaga,0,-1.7999999999999972,-6,-6,-8,-3,2,13,-16,12,15,-29,-1,1,-1,1,-6,-1,1,8,3,0,1,0,51,8,-43,2,0,-1,-7,-4,12,3,2
Valencia v Rayo Vallecano,0,-1.3000000000000007,4,1,-67,10,-65,-48,-15,-18,-34,-10,4,-4,-1,1,6,5,1,6,5,0,-2,0,-26,-61,-35,-2,-1,0,8,4,-5,-4,3
Valencia v Real Madrid,0,-2.1999999999999993,-2,-2,-45,-8,-46,-31,-20,3,-31,-25,-1,1,-7,7,-1,-2,0,0,-1,0,1,0,-4,-53,-49,0,3,0,13,7,-8,-6,-1
Valencia v Real Sociedad,0,-1.2000000000000028,11,4,-27,-19,-19,0,-14,40,-35,-20,4,-4,0,0,3,3,0,13,1,0,2,0,48,-21,-69,-2,0,0,3,1,-3,-2,0
Valencia v Sevilla,0,-2.1000000000000014,-2,-2,-64,-4,-56,-48,-35,-45,-24,-15,-2,2,-6,6,1,0,1,-10,-5,0,0,0,-79,-55,24,8,3,0,12,7,-7,-5,1
Valencia v Villarreal,1,-0.5,1,0,-35,-2,-21,-20,-15,-24,-13,2,-3,3,-1,1,-2,-1,0,1,-4,0,0,0,-39,-10,29,7,-1,0,3,1,0,-2,0
Villarreal v Almeria,0,-0.6000000000000014,4,3,82,-8,80,51,22,21,28,27,1,-1,-1,1,2,1,0,-3,3,0,2,0,43,89,46,-2,1,0,5,4,-3,-1,1
Villarreal v Athletic Club,0,-1.3000000000000007,1,0,-22,-4,-17,-17,-12,-20,-12,2,4,-4,-1,1,3,2,1,-3,2,0,4,0,-41,-2,39,0,0,0,-4,1,1,5,1
Villarreal v Atletico,2,-2.900000000000002,0,3,-103,15,-107,-73,-46,-61,-44,-16,4,-4,7,-7,-2,-2,0,-4,-7,0,-3,0,-52,-101,-49,4,-1,0,0,2,1,2,0
Villarreal v Barcelona,2,-0.8000000000000007,-7,-4,-231,-13,-232,-117,-132,-129,-124,3,-4,4,1,-1,-3,0,0,-15,-4,0,-1,0,-253,-233,20,8,-2,0,11,7,-11,-4,0
Villarreal v Celta Vigo,0,0.3000000000000007,5,2,-31,-15,-22,-3,-15,19,-34,-3,2,-2,0,0,2,2,1,11,3,0,-1,0,33,-20,-53,0,0,0,-14,-7,15,7,2
Villarreal v Cordoba,1,-0.7999999999999972,1,-3,76,2,70,46,22,44,19,5,0,0,2,-2,0,3,0,-4,3,0,1,0,74,80,6,-4,-1,0,-3,-3,4,0,0
Villarreal v Deportivo,0,-1.3000000000000007,10,8,40,4,31,32,10,-5,39,10,2,-2,-1,1,6,3,0,1,4,0,3,0,7,36,29,-9,0,0,-5,-3,0,2,1
Villarreal v Eibar,0,-2.8999999999999986,7,6,146,-2,142,92,68,66,75,20,4,-4,1,-1,4,3,0,11,3,0,-2,0,119,134,15,-8,0,0,-6,-1,5,5,0
Villarreal v Elche,0,-1.0,2,0,-121,-10,-118,-70,-51,-15,-64,-46,3,-3,-5,5,0,1,0,0,0,0,2,0,-20,-114,-94,4,-1,0,-10,-9,7,1,1
Villarreal v Espanyol,2,-1.8000000000000007,-8,-6,53,-8,42,25,19,-2,43,4,1,-1,-3,3,-4,-2,0,-7,-2,0,1,0,38,26,-12,-6,0,0,-2,-3,-2,-1,-1
Villarreal v Getafe,0,-1.3999999999999986,4,1,75,-17,70,54,23,34,41,2,0,0,-4,4,3,4,2,0,2,0,-1,0,86,67,-19,-6,1,0,-2,1,5,3,2
Villarreal v Granada,0,-0.6999999999999993,3,3,-23,-5,-26,-9,-15,-15,-7,-2,0,0,5,-5,3,5,1,-4,3,0,1,0,-29,-25,4,1,0,0,4,5,2,1,1
Villarreal v Levante,0,-2.0,1,0,51,-1,64,41,16,45,9,3,1,-1,0,0,2,-1,0,4,0,0,2,0,66,61,-5,-1,-1,0,-5,-6,-2,-1,0
Villarreal v Malaga,0,-2.0,-5,-5,22,1,0,23,1,-3,19,11,-2,2,1,-1,-3,-1,0,-6,-1,0,3,0,-13,11,24,0,0,0,1,0,-2,-1,0
Villarreal v Rayo Vallecano,0,-1.7999999999999972,-3,-2,-74,-15,-79,-43,-45,-47,-28,-13,0,0,4,-4,-3,-2,-1,-6,-2,0,0,0,-61,-74,-13,-2,1,0,4,2,-4,-2,-1
Villarreal v Real Madrid,2,-0.6000000000000014,4,6,-22,-3,-36,-4,-18,8,-23,-8,-1,1,1,-1,3,2,-1,-1,3,0,2,0,-30,-40,-10,-7,-1,0,2,0,-5,-2,-2
Villarreal v Real Sociedad,0,-1.1000000000000014,2,2,46,-21,46,20,18,2,37,1,1,-1,-3,3,1,2,0,-1,1,0,0,0,58,47,-11,3,0,0,-2,1,7,3,0
Villarreal v Sevilla,2,-1.6000000000000014,8,4,41,-3,52,29,20,27,37,-16,3,-3,4,-4,5,2,0,13,-1,0,-1,0,69,60,-9,-7,0,0,-8,-1,8,7,0
Villarreal v Valencia,2,1.6999999999999993,3,3,109,-6,107,60,55,34,44,38,4,-4,3,-3,2,2,0,8,3,0,2,0,84,120,36,-7,0,0,-3,0,4,3,1
